Legal,Statement
1703,มาตรา 1703  พินัยกรรมซึ่งบุคคลที่มีอายุยังไม่ครบสิบห้าปีบริบูรณ์ทำขึ้นนั้น เป็นโมฆะ
1704,มาตรา 1704  พินัยกรรมซึ่งบุคคลผู้ถูกศาลสั่งให้เป็นคนไร้ความสามารถทำขึ้นนั้น เป็นโมฆะ พินัยกรรมซึ่งบุคคลผู้ถูกอ้างว่าเป็นคนวิกลจริต แต่ศาลยังไม่ได้สั่งให้เป็นคนไร้ความสามารถทำขึ้นนั้น จะเป็นอันเสียเปล่าก็แต่เมื่อพิสูจน์ได้ว่าในเวลาที่ทำพินัยกรรมนั้นผู้ทำจริตวิกลอยู่
1705,มาตรา 1705  พินัยกรรมหรือข้อกำหนดพินัยกรรมนั้น ถ้าได้ทำขึ้นขัดต่อบทบัญญัติแห่งมาตรา 1652 1653 1656 1657 1658 1660 1661 หรือ 1663 ย่อมเป็นโมฆะ
1706,มาตรา 1706  ข้อกำหนดพินัยกรรมเป็นโมฆะ (1) ถ้าตั้งผู้รับพินัยกรรมไว้โดยมีเงื่อนไขว่า ให้ผู้รับพินัยกรรมจำหน่ายทรัพย์สินของเขาเองโดยพินัยกรรมให้แก่ผู้ทำพินัยกรรม หรือแก่บุคคลภายนอก (2) ถ้ากำหนดบุคคลซึ่งไม่อาจที่จะทราบตัวแน่นอนได้เป็นผู้รับพินัยกรรม แต่ผู้รับพินัยกรรมตามพินัยกรรมลักษณะเฉพาะนั้น อาจกำหนดโดยให้บุคคลใดคนหนึ่งเป็นผู้ระบุเลือกเอาจากบุคคลอื่นหลายคน หรือจากบุคคลอื่นหมู่ใดหมู่หนึ่ง ซึ่งผู้ทำพินัยกรรมระบุไว้ก็ได้ (3) ถ้าทรัพย์สินที่ยกให้โดยพินัยกรรมระบุไว้ไม่ชัดแจ้งจนไม่อาจที่จะทราบแน่นอนได้ หรือถ้าให้บุคคลใดคนหนึ่งกำหนดให้มากน้อยเท่าใดตามแต่ใจ
1707,มาตรา 1707  ถ้าข้อกำหนดพินัยกรรมตั้งผู้รับพินัยกรรมโดยมีเงื่อนไขว่าให้ผู้รับพินัยกรรมจำหน่ายทรัพย์สินที่ยกให้โดยพินัยกรรมนั้นแก่บุคคลอื่น ให้ถือว่าเงื่อนไขนั้นเป็นอันไม่มีเลย
1708,มาตรา 1708  เมื่อผู้ทำพินัยกรรมตายแล้ว บุคคลผู้มีส่วนได้เสียคนใดคนหนึ่งจะร้องขอให้ศาลสั่งเพิกถอนพินัยกรรมซึ่งได้ทำขึ้นเพราะเหตุข่มขู่ก็ได้ แต่หากผู้ทำพินัยกรรมยังมีชีวิตอยู่ต่อมาเกินหนึ่งปีนับแต่ผู้ทำพินัยกรรมพ้นจากการข่มขู่แล้ว จะมีการร้องขอเช่นว่านั้นไม่ได้
1709,มาตรา 1709  เมื่อผู้ทำพินัยกรรมตายแล้ว บุคคลผู้มีส่วนได้เสียคนใดคนหนึ่งจะร้องขอให้ศาลสั่งเพิกถอนพินัยกรรมซึ่งได้ทำขึ้นเพราะสำคัญผิดหรือกลฉ้อฉลได้ก็ต่อเมื่อความสำคัญผิดหรือกลฉ้อฉลนั้นถึงขนาด ซึ่งถ้ามิได้มีความสำคัญผิดหรือกลฉ้อฉลเช่นนั้น พินัยกรรมนั้นก็จะมิได้ทำขึ้น ความในวรรคก่อนนี้ ให้ใช้บังคับ แม้ถึงว่ากลฉ้อฉลนั้น บุคคลซึ่งมิใช่เป็นผู้รับประโยชน์ตามพินัยกรรมได้ก่อขึ้น แต่พินัยกรรมซึ่งได้ทำขึ้นโดยสำคัญผิดหรือกลฉ้อฉลย่อมมีผลบังคับได้ เมื่อผู้ทำพินัยกรรมมิได้เพิกถอนพินัยกรรมนั้นภายในหนึ่งปีนับแต่ที่ได้รู้ถึงการสำคัญผิดหรือกลฉ้อฉลนั้น
1710,มาตรา 1710  คดีฟ้องขอให้เพิกถอนข้อกำหนดพินัยกรรมนั้น มิให้ฟ้องเมื่อพ้นกำหนดดังนี้ (1) สามเดือนภายหลังที่ผู้ทำพินัยกรรมตาย ในกรณีที่โจทก์รู้เหตุแห่งการที่จะขอให้เพิกถอนได้ ในระหว่างที่ผู้ทำพินัยกรรมมีชีวิตอยู่ หรือ (2) สามเดือนภายหลังที่โจทก์ได้รู้เหตุเช่นนั้นในกรณีอื่นใด แต่ถ้าโจทก์ไม่รู้ว่ามีข้อกำหนดพินัยกรรมอันกระทบกระทั่งถึงส่วนได้เสียของตน แม้ว่าโจทก์จะได้รู้เหตุแห่งการที่จะขอให้เพิกถอนได้ก็ดี อายุความสามเดือนให้เริ่มนับแต่ขณะที่โจทก์รู้หรือควรจะได้รู้ว่ามีข้อกำหนดพินัยกรรมนั้น แต่อย่างไรก็ดี ห้ามมิให้ฟ้องคดีเช่นนี้เมื่อพ้นสิบปีนับแต่ผู้ทำพินัยกรรมตาย
1711,มาตรา 1711  ผู้จัดการมรดกนั้นรวมตลอดทั้งบุคคลที่ตั้งขึ้นโดยพินัยกรรมหรือโดยคำสั่งศาล
1712,มาตรา 1712  ผู้จัดการมรดกโดยพินัยกรรมอาจตั้งขึ้นได้ (1) โดยผู้ทำพินัยกรรมเอง (2) โดยบุคคลซึ่งระบุไว้ในพินัยกรรม ให้เป็นผู้ตั้ง
1713,มาตรา 1713  ทายาทหรือผู้มีส่วนได้เสียหรือพนักงานอัยการจะร้องต่อศาลขอให้ตั้งผู้จัดการมรดกก็ได้ ในกรณีดังต่อไปนี้ (1) เมื่อเจ้ามรดกตาย ทายาทโดยธรรมหรือผู้รับพินัยกรรมได้สูญหายไป หรืออยู่นอกราชอาณาเขต หรือเป็นผู้เยาว์ (2) เมื่อผู้จัดการมรดกหรือทายาทไม่สามารถ หรือไม่เต็มใจที่จะจัดการ หรือมีเหตุขัดข้องในการจัดการ หรือในการแบ่งปันมรดก (3) เมื่อข้อกำหนดพินัยกรรมซึ่งตั้งผู้จัดการมรดกไว้ไม่มีผลบังคับได้ด้วยประการใด ๆ การตั้งผู้จัดการมรดกนั้น ถ้ามีข้อกำหนดพินัยกรรมก็ให้ศาลตั้งตามข้อกำหนดพินัยกรรม และถ้าไม่มีข้อกำหนดพินัยกรรม ก็ให้ศาลตั้งเพื่อประโยชน์แก่กองมรดกตามพฤติการณ์และโดยคำนึงถึงเจตนาของเจ้ามรดก แล้วแต่ศาลจะเห็นสมควร
1714,มาตรา 1714  เมื่อศาลตั้งให้ผู้ใดเป็นผู้จัดการมรดกเพื่อการใดโดยเฉพาะ ผู้นั้นไม่จำต้องทำบัญชีทรัพย์มรดก เว้นแต่จะจำเป็นเพื่อการนั้น หรือศาลสั่งให้ทำ
1715,มาตรา 1715  ผู้ทำพินัยกรรมจะตั้งบุคคลคนเดียวหรือหลายคนให้เป็นผู้จัดการมรดกก็ได้ เว้นแต่จะมีข้อกำหนดไว้ในพินัยกรรมเป็นอย่างอื่น ถ้ามีผู้จัดการมรดกหลายคน แต่ผู้จัดการเหล่านั้นบางคนไม่สามารถ หรือไม่เต็มใจที่จะจัดการ และยังมีผู้จัดการมรดกเหลืออยู่แต่คนเดียว ผู้นั้นมีสิทธิที่จะจัดการมรดกได้โดยลำพัง แต่ถ้ามีผู้จัดการมรดกเหลืออยู่หลายคน ให้สันนิษฐานไว้ก่อนว่า ผู้จัดการเหล่านั้นแต่ละคนจะจัดการโดยลำพังไม่ได้
1716,มาตรา 1716  หน้าที่ผู้จัดการมรดกที่ศาลตั้ง ให้เริ่มนับแต่วันที่ได้ฟังหรือถือว่าได้ฟังคำสั่งศาลแล้ว
1717,มาตรา 1717  ในเวลาใด ๆ ภายในหนึ่งปีนับแต่วันที่เจ้ามรดกตาย แต่ต้องเป็นเวลาภายหลังที่เจ้ามรดกตายแล้วสิบห้าวัน ทายาทหรือผู้มีส่วนได้เสียคนใดคนหนึ่ง จะแจ้งความถามไปยังผู้ที่ถูกตั้งเป็นผู้จัดการมรดกโดยพินัยกรรมว่าจะรับเป็นผู้จัดการมรดกหรือไม่ก็ได้ ถ้าผู้ที่ได้รับแจ้งความมิได้ตอบรับเป็นผู้จัดการมรดกภายในหนึ่งเดือนนับแต่วันรับแจ้งความนั้น ให้ถือว่าผู้นั้นปฏิเสธ แต่การรับเป็นผู้จัดการมรดกนั้น จะทำภายหลังหนึ่งปีนับแต่วันที่เจ้ามรดกตายไม่ได้ เว้นแต่ศาลจะอนุญาต
1718,มาตรา 1718  บุคคลต่อไปนี้จะเป็นผู้จัดการมรดกไม่ได้ (1) ผู้ซึ่งยังไม่บรรลุนิติภาวะ (2) บุคคลวิกลจริต หรือบุคคลซึ่งศาลสั่งให้เป็นผู้เสมือนไร้ความสามารถ (3) บุคคลซึ่งศาลสั่งให้เป็นคนล้มละลาย
1719,มาตรา 1719  ผู้จัดการมรดกมีสิทธิและหน้าที่ที่จะทำการอันจำเป็น เพื่อให้การเป็นไปตามคำสั่งแจ้งชัดหรือโดยปริยายแห่งพินัยกรรม และเพื่อจัดการมรดกโดยทั่วไป หรือเพื่อแบ่งปันทรัพย์มรดก
1720,มาตรา 1720  ผู้จัดการมรดกต้องรับผิดต่อทายาทตามที่บัญญัติไว้ในมาตรา 809 ถึง 812 819 823 แห่งประมวลกฎหมายนี้โดยอนุโลม และเมื่อเกี่ยวกับบุคคลภายนอก ให้ใช้มาตรา 831 บังคับโดยอนุโลม
1721,มาตรา 1721  ผู้จัดการมรดกไม่มีสิทธิที่จะได้รับบำเหน็จจากกองมรดก เว้นแต่พินัยกรรม หรือทายาทโดยจำนวนข้างมากจะได้กำหนดให้ไว้
1722,มาตรา 1722  ผู้จัดการมรดกจะทำนิติกรรมใด ๆ ซึ่งตนมีส่วนได้เสียเป็นปฏิปักษ์ต่อกองมรดกหาได้ไม่ เว้นแต่พินัยกรรมจะได้อนุญาตไว้ หรือได้รับอนุญาตจากศาล
1723,มาตรา 1723  ผู้จัดการมรดกต้องจัดการโดยตนเอง เว้นแต่จะทำการโดยตัวแทนได้ตามอำนาจที่ให้ไว้ชัดแจ้งหรือโดยปริยายในพินัยกรรม หรือโดยคำสั่งศาล หรือในพฤติการณ์เพื่อประโยชน์แก่กองมรดก
1724,มาตรา 1724  ทายาทย่อมมีความผูกพันต่อบุคคลภายนอกในกิจการทั้งหลายอันผู้จัดการมรดกได้ทำไปภายในขอบอำนาจในฐานะที่เป็นผู้จัดการมรดก ถ้าผู้จัดการมรดกเข้าทำนิติกรรมกับบุคคลภายนอก โดยเห็นแก่ทรัพย์สินอย่างใด ๆ หรือประโยชน์อย่างอื่นใด อันบุคคลภายนอกได้ให้ หรือได้ให้คำมั่นว่าจะให้เป็นลาภส่วนตัว ทายาทหาต้องผูกพันไม่ เว้นแต่ทายาทจะได้ยินยอมด้วย
1725,มาตรา 1725  ผู้จัดการมรดกต้องสืบหาโดยสมควรซึ่งตัวผู้มีส่วนได้เสียและแจ้งไปให้ทราบถึงข้อกำหนดพินัยกรรมที่เกี่ยวกับผู้มีส่วนได้เสียนั้นภายในเวลาอันสมควร
1726,มาตรา 1726  ถ้าผู้จัดการมรดกมีหลายคน การทำการตามหน้าที่ของผู้จัดการมรดกนั้นต้องถือเอาเสียงข้างมาก เว้นแต่จะมีข้อกำหนดพินัยกรรมเป็นอย่างอื่น ถ้าเสียงเท่ากัน เมื่อผู้มีส่วนได้เสียร้องขอ ก็ให้ศาลเป็นผู้ชี้ขาด
1727,มาตรา 1727  ผู้มีส่วนได้เสียคนหนึ่งคนใดจะร้องขอให้ศาลสั่งถอนผู้จัดการมรดก เพราะเหตุผู้จัดการมรดกละเลยไม่ทำการตามหน้าที่ หรือเพราะเหตุอย่างอื่นที่สมควรก็ได้ แต่ต้องร้องขอเสียก่อนที่การปันมรดกเสร็จสิ้นลง แม้ถึงว่าจะได้เข้ารับตำแหน่งแล้วก็ดี ผู้จัดการมรดกจะลาออกจากตำแหน่งโดยมีเหตุอันสมควรก็ได้ แต่ต้องได้รับอนุญาตจากศาล
1728,มาตรา 1728  ผู้จัดการมรดกต้องลงมือจัดทำบัญชีทรัพย์มรดกภายในสิบห้าวัน (1) นับแต่เจ้ามรดกตาย ถ้าในขณะนั้นผู้จัดการมรดกได้รู้ถึงการตั้งแต่งตามพินัยกรรมที่มอบหมายไว้แก่ตน หรือ (2) นับแต่วันที่เริ่มหน้าที่ผู้จัดการมรดกตามมาตรา 1726 ในกรณีที่ศาลตั้งเป็นผู้จัดการมรดก หรือ (3) นับแต่วันที่ผู้จัดการมรดกรับเป็นผู้จัดการมรดกในกรณีอื่น
1729,มาตรา 1729  ผู้จัดการมรดกต้องจัดทำบัญชีทรัพย์มรดกให้แล้วเสร็จภายในหนึ่งเดือนนับแต่เวลาที่ระบุไว้ในมาตรา 1728 แต่กำหนดเวลานี้ เมื่อผู้จัดการมรดกร้องขอก่อนสิ้นกำหนดเวลาหนึ่งเดือน ศาลจะอนุญาตให้ขยายต่อไปอีกก็ได้ บัญชีนั้นต้องทำต่อหน้าพยานอย่างน้อยสองคน ซึ่งต้องเป็นผู้มีส่วนได้เสียในกองมรดกนั้นด้วย บุคคลซึ่งจะเป็นพยานในการทำพินัยกรรมไม่ได้ตามมาตรา 1670 จะเป็นพยานในการทำบัญชีใด ๆ ที่ต้องทำขึ้นตามบทบัญญัติแห่งประมวลกฎหมายนี้ไม่ได้
1730,มาตรา 1730  ให้นำมาตรา 1563 1564 วรรค 1 และ 2 และ 1565 แห่งประมวลกฎหมายนี้มาใช้บังคับโดยอนุโลม ในระหว่างทายาทกับผู้จัดการมรดกโดยพินัยกรรมและในระหว่างศาลกับผู้จัดการมรดกที่ศาลตั้ง
1731,มาตรา 1731  ถ้าผู้จัดการมรดกมิได้จัดทำบัญชีภายในเวลาและตามแบบที่กำหนดไว้ หรือถ้าบัญชีนั้นไม่เป็นที่พอใจแก่ศาล เพราะความประมาทเลินเล่ออย่างร้ายแรง หรือการทุจริต หรือความไม่สามารถอันเห็นประจักษ์ของผู้จัดการมรดก ศาลจะถอนผู้จัดการมรดกเสียก็ได้
1732,มาตรา 1732  ผู้จัดการมรดกต้องจัดการตามหน้าที่และทำรายงานแสดงบัญชีการจัดการและแบ่งปันมรดกให้เสร็จภายในหนึ่งปีนับแต่วันที่ระบุไว้ในมาตรา 1728 เว้นแต่ผู้ทำพินัยกรรม ทายาทโดยจำนวนข้างมาก หรือศาลจะได้กำหนดเวลาให้ไว้เป็นอย่างอื่น
1733,มาตรา 1733  การให้อนุมัติ การปลดเปลื้องความรับผิด หรือข้อตกลงอื่น ๆ อันเกี่ยวกับรายงานแสดงบัญชีการจัดการมรดกดังที่บัญญัติไว้ในมาตรา 1732 นั้น จะสมบูรณ์ต่อเมื่อรายงานแสดงบัญชีนั้นได้ส่งมอบล่วงหน้าแก่ทายาทพร้อมด้วยเอกสารอันเกี่ยวกับการนั้นไม่น้อยกว่าสิบวันก่อนแล้ว คดีเกี่ยวกับการจัดการมรดกนั้น มิให้ทายาทฟ้องเกินกว่าห้าปีนับแต่การจัดการมรดกสิ้นสุดลง
1734,มาตรา 1734  เจ้าหนี้กองมรดกชอบแต่จะได้รับการชำระหนี้จากทรัพย์สินในกองมรดกเท่านั้น
1735,มาตรา 1735  ทายาทจำต้องบอกทรัพย์มรดกและหนี้สินของผู้ตายตามที่ตนรู้ทั้งหมดแก่ผู้จัดการมรดก
1736,มาตรา 1736  ตราบใดที่เจ้าหนี้กองมรดก หรือผู้รับพินัยกรรมที่ปรากฏตัว ยังไม่ได้รับชำระหนี้ หรือส่วนได้ตามพินัยกรรมแล้วทุกคน ให้ถือว่าทรัพย์มรดกยังคงอยู่ในระหว่างจัดการ ในระหว่างเวลาเช่นว่านั้น ผู้จัดการมรดกชอบที่จะทำการใด ๆ ในทางจัดการตามที่จำเป็นได้ เช่นฟ้องคดีหรือแก้ฟ้องในศาลและอื่น ๆ อนึ่ง ผู้จัดการมรดกต้องทำการทุกอย่างตามที่จำเป็น เพื่อเรียกเก็บหนี้สินซึ่งค้างชำระอยู่แก่กองมรดกภายในเวลาอันเร็วที่สุดที่จะทำได้ และเมื่อเจ้าหนี้กองมรดกได้รับชำระหนี้แล้ว ผู้จัดการมรดกต้องทำการแบ่งปันมรดก
1737,มาตรา 1737  เจ้าหนี้กองมรดกจะบังคับสิทธิเรียกร้องต่อทายาทคนใดก็ได้ แต่ถ้ามีผู้จัดการมรดก ให้เจ้าหนี้เรียกเข้ามาในคดีด้วย
1738,มาตรา 1738  ก่อนแบ่งมรดก เจ้าหนี้กองมรดกจะบังคับชำระหนี้เต็มจำนวนจากกองมรดกก็ได้ ในกรณีเช่นนี้ ทายาทคนหนึ่ง ๆ อาจเรียกให้ชำระหนี้จากทรัพย์มรดกของเจ้ามรดก หรือให้เอาเป็นประกันก็ได้จนถึงเวลาแบ่งมรดก เมื่อแบ่งมรดกแล้ว เจ้าหนี้อาจเรียกให้ทายาทคนใดคนหนึ่งชำระหนี้ได้เพียงไม่เกินทรัพย์มรดกที่ทายาทคนนั้นได้รับไป ในกรณีเช่นนี้ ทายาทคนใดซึ่งได้ชำระหนี้แก่เจ้าหนี้กองมรดกเกินกว่าส่วนที่ตนจะต้องเฉลี่ยใช้หนี้ ทายาทคนนั้นมีสิทธิไล่เบี้ยจากทายาทคนอื่นได้
1739,มาตรา 1739  ให้ชำระหนี้ที่กองมรดกค้างชำระตามลำดับต่อไปนี้ และตามบทบัญญัติแห่งประมวลกฎหมายนี้ว่าด้วยบุริมสิทธิ โดยต้องไม่เป็นที่เสื่อมเสียแก่บรรดาเจ้าหนี้ผู้มีบุริมสิทธิพิเศษตามประมวลกฎหมายนี้หรือกฎหมายอื่น และบรรดาเจ้าหนี้ที่มีประกันโดยการจำนำหรือการจำนอง (1) ค่าใช้จ่ายเพื่อประโยชน์อันร่วมกันของกองมรดก (2) ค่าใช้จ่ายในการทำศพเจ้ามรดก (3) ค่าภาษีอากรซึ่งกองมรดกค้างชำระอยู่ (4) ค่าจ้างซึ่งเจ้ามรดกค้างชำระแก่เสมียน คนใช้และคนงาน (5) ค่าเครื่องอุปโภคบริโภคอันจำเป็นประจำวันซึ่งส่งให้แก่เจ้ามรดก (6) หนี้สินสามัญของเจ้ามรดก (7) บำเหน็จของผู้จัดการมรดก
1740,มาตรา 1740  เว้นแต่เจ้ามรดกหรือกฎหมายจะได้กำหนดไว้เป็นอย่างอื่น ให้จัดสรรทรัพย์สินของเจ้ามรดกเพื่อชำระหนี้ตามลำดับต่อไปนี้ (1) ทรัพย์สินนอกจากอสังหาริมทรัพย์ (2) อสังหาริมทรัพย์ซึ่งจัดสรรไว้ชัดแจ้งในพินัยกรรมว่าสำหรับชำระหนี้ถ้าหากว่ามีทรัพย์สินเช่นนั้น (3) อสังหาริมทรัพย์ซึ่งทายาทโดยธรรมชอบที่จะได้รับในฐานะเช่นนั้น (4) อสังหาริมทรัพย์ซึ่งเจ้ามรดกทำพินัยกรรมให้แก่ผู้ใดผู้หนึ่งโดยมีเงื่อนไขว่า ผู้นั้นต้องชำระหนี้ของเจ้ามรดก (5) อสังหาริมทรัพย์ซึ่งเจ้ามรดกทำพินัยกรรมให้โดยลักษณะทั่วไปดังบัญญัติไว้ในมาตรา 1651 (6) ทรัพย์สินเฉพาะอย่างซึ่งเจ้ามรดกทำพินัยกรรมให้โดยลักษณะเฉพาะดังบัญญัติไว้ในมาตรา 1651 ทรัพย์สินอย่างใดอย่างหนึ่งซึ่งได้จัดสรรไว้ตามความที่กล่าวมาแล้วข้างต้นนั้น ให้เอาออกขายทอดตลาด แต่ทายาทคนใดคนหนึ่งอาจมิให้มีการขายเช่นว่านั้นได้ โดยชำระราคาทรัพย์สินนั้นทั้งหมด หรือแต่บางส่วนตามที่ผู้ตีราคาซึ่งศาลตั้งขึ้นได้กำหนดให้ จนพอแก่จำนวนที่จะชำระหนี้ให้แก่เจ้าหนี้
1741,มาตรา 1741  เจ้าหนี้กองมรดกคนใดคนหนึ่ง จะคัดค้านการขายทอดตลาดหรือการตีราคาทรัพย์สินดังระบุไว้ในมาตราก่อน โดยเสียค่าใช้จ่ายของตนเองก็ได้ ถ้าเจ้าหนี้ได้ร้องคัดค้านแล้ว ยังได้กระทำการขายทอดตลาด หรือตีราคาไป จะยกการขายทอดตลาดหรือตีราคานั้นขึ้นยันต่อเจ้าหนี้ผู้ร้องคัดค้านแล้วนั้นหาได้ไม่
1742,มาตรา 1742  ถ้าในการชำระหนี้ซึ่งค้างชำระอยู่แก่ตน เจ้าหนี้คนใดคนหนึ่งได้รับตั้งในระหว่างที่ผู้ตายมีชีวิตอยู่ ให้เป็นผู้รับประโยชน์ในการประกันชีวิต เจ้าหนี้คนนั้นชอบที่จะได้รับเงินทั้งหมด ซึ่งได้ตกลงไว้กับผู้รับประกัน อนึ่ง เจ้าหนี้เช่นว่านั้น จำต้องส่งเบี้ยประกันภัยคืนเข้ากองมรดกก็ต่อเมื่อเจ้าหนี้คนอื่น ๆ พิสูจน์ได้ว่า (1) การที่ผู้ตายชำระหนี้ให้แก่เจ้าหนี้โดยวิธีดังกล่าวมานั้นเป็นการขัดต่อบทบัญญัติมาตรา 237 แห่งประมวลกฎหมายนี้ และ (2) เบี้ยประกันภัยเช่นว่านั้น เป็นจำนวนสูงเกินส่วนเมื่อเทียบกับรายได้หรือฐานะของผู้ตาย ถึงอย่างไรก็ดี เบี้ยประกันภัยซึ่งจะพึงส่งคืนเข้ากองมรดกนั้นต้องไม่เกินกว่าจำนวนเงินที่ผู้รับประกันชำระให้
1743,มาตรา 1743  ทายาทโดยธรรม หรือผู้รับพินัยกรรมโดยลักษณะทั่วไปไม่จำต้องปฏิบัติตามข้อกำหนดในพินัยกรรมลักษณะเฉพาะเกินกว่าจำนวนทรัพย์มรดกที่ตนได้รับ
1744,มาตรา 1744  ผู้จัดการมรดกไม่จำต้องส่งมอบทรัพย์มรดกหรือส่วนใดส่วนหนึ่งแห่งทรัพย์มรดกให้แก่ทายาทก่อนปีหนึ่งนับแต่วันที่เจ้ามรดกถึงแก่ความตาย เว้นแต่เจ้าหนี้กองมรดกและผู้รับพินัยกรรมที่ปรากฏตัวได้รับชำระหนี้และส่วนได้ตามพินัยกรรมแล้วทุกคน
1745,มาตรา 1745  ถ้ามีทายาทหลายคน ทายาทเหล่านั้นมีสิทธิและหน้าที่เกี่ยวกับทรัพย์มรดกร่วมกันจนกว่าจะได้แบ่งมรดกกันเสร็จแล้ว และให้ใช้มาตรา 1356 ถึงมาตรา 1366 แห่งประมวลกฎหมายนี้บังคับ เพียงเท่าที่ไม่ขัดกับบทบัญญัติแห่งบรรพนี้
1746,มาตรา 1746  ภายใต้บังคับแห่งกฎหมาย หรือข้อความในพินัยกรรมถ้าหากมี ให้สันนิษฐานไว้ก่อนว่า ผู้เป็นทายาทด้วยกันมีส่วนเท่ากันในกองมรดกที่ยังไม่ได้แบ่ง
1747,มาตรา 1747  การที่ทายาทคนใดได้รับทรัพย์สินอย่างหนึ่งอย่างใด หรือประโยชน์อย่างอื่นใดจากเจ้ามรดกโดยการให้ หรือโดยการอย่างอื่นใด ซึ่งทำให้โดยเสน่หาในระหว่างเวลาที่เจ้ามรดกยังมีชีวิตอยู่นั้น หาทำให้สิทธิในการแบ่งปันทรัพย์มรดกของทายาทคนนั้น ต้องเสื่อมเสียไปแต่โดยประการใดไม่
1748,มาตร 1748  ทายาทคนใดครอบครองทรัพย์มรดกซึ่งยังมิได้แบ่งกัน ทายาทคนนั้นมีสิทธิที่จะเรียกร้องให้แบ่งทรัพย์มรดกนั้นได้ แม้ว่าจะล่วงพ้นกำหนดอายุความตามมาตรา 1754 แล้วก็ดี สิทธิที่จะเรียกให้แบ่งทรัพย์มรดกตามวรรคก่อน จะตัดโดยนิติกรรมเกินคราวละสิบปีไม่ได้
1749,มาตรา 1749  ถ้ามีคดีฟ้องเรียกทรัพย์มรดก ผู้ซึ่งอ้างว่าตนเป็นทายาทมีสิทธิในทรัพย์มรดกนั้น จะร้องสอดเข้ามาในคดีก็ได้ แต่ศาลจะเรียกทายาทอื่น นอกจากคู่ความ หรือผู้ร้องสอด ให้เข้ามารับส่วนแบ่ง หรือกันส่วนแห่งทรัพย์มรดกไว้เพื่อทายาทอื่นนั้นไม่ได้
1750,มาตรา 1750  การแบ่งปันทรัพย์มรดกนั้น อาจทำได้โดยทายาทต่างเข้าครอบครองทรัพย์สินเป็นส่วนสัด หรือโดยการขายทรัพย์มรดกแล้วเอาเงินที่ขายได้มาแบ่งปันกันระหว่างทายาท ถ้าการแบ่งปันมิได้เป็นไปตามวรรคก่อน แต่ได้ทำโดยสัญญา จะฟ้องร้องให้บังคับคดีหาได้ไม่ เว้นแต่จะมีหลักฐานเป็นหนังสืออย่างหนึ่งอย่างใด ลงลายมือชื่อฝ่ายที่ต้องรับผิดหรือตัวแทนของฝ่ายนั้นเป็นสำคัญ ในกรณีเช่นนี้ให้นำมาตรา 850
1751,มาตรา 1751  ภายหลังที่ได้แบ่งมรดกกันแล้ว ถ้าทรัพย์สินทั้งหมดหรือบางส่วน ซึ่งทายาทคนใดคนหนึ่งได้รับตามส่วนแบ่งปันนั้น หลุดมือไปจากทายาทคนนั้นเนื่องจากการรอนสิทธิ ทายาทคนอื่น ๆ จำต้องใช้ค่าทดแทน หนี้เช่นว่านั้น เป็นอันระงับเมื่อมีการตกลงกันไว้เป็นอย่างอื่น หรือการรอนสิทธิเป็นผลเนื่องมาจากความผิดของทายาทผู้ถูกรอนสิทธิ หรือเนื่องมาจากเหตุซึ่งเกิดขึ้นภายหลังการแบ่งปัน ทายาทคนอื่น ๆ ต้องใช้ค่าทดแทนให้แก่ทายาทผู้ถูกรอนสิทธิตามส่วนแห่งส่วนแบ่งของตน แต่ให้หักจำนวนที่เป็นส่วนเฉลี่ย ซึ่งทายาทผู้ถูกรอนสิทธิจะต้องออกกับเขาด้วยนั้นออกเสีย แต่ถ้าทายาทคนใดคนหนึ่งเป็นคนหนี้สินล้นพ้นตัว ทายาทคนอื่น ๆ ต้องรับผิดในส่วนของทายาทคนนั้นตามส่วนเฉลี่ยเช่นเดียวกัน แต่ให้หักจำนวนที่เป็นส่วนเฉลี่ยซึ่งทายาทผู้ที่จะได้รับค่าทดแทนจะต้องออกแทนทายาทผู้ที่มีหนี้สินล้นพ้นตัวนั้นออกเสีย บทบัญญัติในวรรคก่อน ๆ มิให้ใช้บังคับแก่ผู้รับพินัยกรรมลักษณะเฉพาะ
1752,มาตรา 1752  คดีฟ้องให้รับผิดเนื่องจากการรอนสิทธิตามมาตรา 1751 นั้น มิให้ฟ้องเมื่อพ้นกำหนดสามเดือนนับแต่เมื่อถูกรอนสิทธิ
1753,มาตรา 1753  ภายใต้บังคับแห่งสิทธิของเจ้าหนี้กองมรดก เมื่อบุคคลใดถึงแก่ความตายโดยไม่มีทายาทโดยธรรมหรือผู้รับพินัยกรรม หรือการตั้งมูลนิธิตามพินัยกรรม มรดกของบุคคลนั้นตกทอดแก่แผ่นดิน
